Name,TotalTime,RecipeCategory,Keywords,RecipeIngredientParts,RecipeInstructions,Calories
Cascaron - Bitsu-Bitsu (Dough Balls),PT25M,Dessert,"c(""Filipino"", ""Asian"", ""Vegan"", ""< 30 Mins"", ""Stove Top"", ""Easy"")","c(""coconut"", ""hot water"", ""dark brown sugar"", ""cold water"")","c(""Squeeze grated coconut in water then strain coconut water in clean dish towel or cheesecloth over another bowl."", ""Squeeze until all liquid has been extracted (Instead of fresh coconut, you may use 1/2 can of grated coconut and 1 1/2 cups of water)."", ""Place canned coconut in 1 package of mochi flour and add water until dough is soft but not too sticky."", ""Do the same with fresh coconut."", ""Shape dough in balls of 1 inch diameter and fry in deep fat until golden brown."", ""Drain dough balls on paper towel."", 
""Then put them in a large mixing bowl."", ""When all have been fried, boil water and 1/3 box brown sugar in a small sauce pan until it reaches the soft boil stage."", ""This is done by placing a drop of syrup in a bowl of cold water."", ""If it retains it shape and is soft, it is ready."", ""Pour over dough balls."", ""Mix well so that all are coated with syrup."", ""Remove from bowl and place them in a platter to cool."", ""Excellent with coffee or tea."")",0
Menudo,PT40M,Stew,"c(""Lunch/Snacks"", ""Beef Organ Meats"", ""Meat"", ""Filipino"", ""Asian"", ""< 60 Mins"", ""Stir Fry"")","c(""liver"", ""pork"", ""potatoes"", ""garbanzo beans"", ""tomatoes"", ""garlic"", ""onion"", ""water"", ""shortening"", ""salt"")","c(""Cook pork in water to cover until tender."", ""Dice."", ""Saute garlic,onion and tomatoes in shortening."", ""Add pork and liver and continue sauteing for 5 minutes."", ""Add water and salt,and pimenton (to color)."", ""Add potatoes and cooked garbanzos."", ""Cook until potatoes are done."")",178.3
KARI-KARE (Meat and Vegetable Stew in Peanut Sauce),PT2H15M,Stew,"c(""One Dish Meal"", ""Lunch/Snacks"", ""Pork"", ""Vegetable"", ""Meat"", ""Filipino"", ""Asian"", ""Weeknight"", ""Stove Top"", ""< 4 Hours"", ""Easy"")","c(""stewing beef"", ""salt"", ""garlic"", ""onion"", ""achute water"", ""peanut butter"", ""powdered rice"", ""green beans"", ""eggplant"")","c(""Place hocks or oxtail pieces in a large pot."", ""Add enough water to cover."", ""Bring to boil, lower heat and simmer for 1-1/2 hours or until tender."", ""If using achute water, soak 1 tablespoon of achute seeds in water for 30 minutes."", ""Squeeze seeds between your thumb and finger tips until the water turns red."", ""Strain and set red water aside."", ""OR Heat 2 tablespoons oil, saute achute seeds in oil until oil turns red, discard seeds."", ""Use oil for sauteing rest of ingredients."", ""Heat oil in a skillet and saute garlic and onions."", 
""Add cooked meat and 2 cups of the broth."", ""(Save the rest of the broth for other uses.) Add salt and achute water."", ""Simmer for 15 minutes."", ""Stir in peanut butter and toasted rice powder, bring back to simmer cook, stirring for 5 minutes."", ""Add green beans and eggplant."", ""Cook 10 minutes or until vegetables are tender, stirring occasionally."", ""Correct the seasonings."", ""Serve with hot rice and bagoong, plain or sauteed."")",130
Pochero,PT1H,Stew,"c(""One Dish Meal"", ""Yam/Sweet Potato"", ""Chicken"", ""Pork"", ""Potato"", ""Poultry"", ""Beans"", ""Vegetable"", ""Meat"", ""Filipino"", ""Asian"", ""< 60 Mins"", ""Stove Top"")","c(""chickpeas"", ""chicken"", ""pork"", ""chorizo sausage"", ""onion"", ""salt"", ""whole black peppercorn"", ""garlic"", ""onion"", ""tomatoes"", ""sweet potato"", ""bok choy"", ""green onions"")","c(""Wash chick peas and soak overnight (or use a can of Garbanzo beans)."", ""In one pan put in the chick peas chicken, pork, chorizo and add water to cover."", ""Add sliced onion, salt& peppercorns, bring to a boil."", ""Reduce heat and simmer until meats and chick peas are almost tender."", ""In another pan heat oil and fry garlic with the chopped onion on low heat, stirring frequently until golden brown."", ""Add tomatoes and cook to a pulp."", ""Add meats, stock& sweet potatoes."", ""Simmer until potatoes are nearly cooked then add cabbage& green onions for the last few minutes."", 
""Serve broth as soup and the meats& vegetables as a separate course."")",798.3
Siopao,PT3H20M,Chicken,"c(""Poultry"", ""Meat"", ""Filipino"", ""Asian"", ""Healthy"", ""Weeknight"", ""< 4 Hours"")","c(""flour"", ""active dry yeast"", ""chicken thigh"", ""white sugar"", ""water"", ""boiling water"", ""eggs"", ""green onions"", ""light soy sauce"", ""brown sugar"", ""oyster sauce"", ""cornstarch"", ""garlic"", ""salt"", ""baking powder"")","c(""Mix flour, salt and baking powder in a medium bowl, set aside."", ""In another bowl dissolve yeast in luke warm water then add 1 cup of the flour mixture."", ""Mix thoroughly."", ""Cover with a cloth and let rise 1 hour."", ""Meanwhile, dissolve the white sugar in the boiling water."", ""Stir well then let cool to luke warm."", ""Pour into the yeast mixture, then add the rest of the prepared flour mixture."", ""Stir to blend well."", ""Grease a large bowl."", ""Turn dough out onto a floured board and knead for 3 minutes-you want your dough smooth, not sticky."", 
""Place ball into bowl, turn once and cover with a damp cloth."", ""Let rise 2 hours or until doubled."", ""Meanwhile saute the garlic and onions in a small amount of oil in a wok."", ""Add meat and stir fry for 1 minute or until meat is no longer pink."", ""Add soy sauce, oyster sauce and brown sugar."", ""Pour in the dissolved cornstarch and stir fry quickly until meat is glazed well."", ""Remove from heat and let cool."", ""Punch down dough and knead on a floured board for 3 to 5 minutes."", ""Divide dough and roll each half into a 12x2 inch log."", 
""Cut each into 12 pieces, making 24."", ""Roll each piece into a ball using your hands then rolling it flat into a 3 inch diameter circle."", ""Dust with flour if needed to prevent sticking."", ""If using, place 1 slice of egg into center of dough round, then 1 T."", ""of filling with sauce."", ""Gather sides of round, pinch together and twist."", ""Place pinched side down on parchment paper and place in steamer."", ""Repeat until done."", ""Cover with a damp cloth and let rise for 1 hour."", ""Steam Siopao for 20 minutes."", 
""You can freeze cooked Siopao, simply re-steam for 10 minutes."")",216.2
Baked Lumpia Rolls,PT35M,Pork,"c(""Meat"", ""Filipino"", ""Asian"", ""< 60 Mins"", ""For Large Groups"", ""Oven"")","c(""carrot"", ""onion"", ""water chestnuts"", ""bamboo shoots"", ""garlic cloves"", ""fresh ginger"", ""soy sauce"", ""black pepper"", ""wonton wrapper"", ""egg"", ""brown sugar"", ""distilled white vinegar"", ""soy sauce"", ""water"", ""cornstarch"", ""ginger"")","c(""In a large bowl combine the pork, carrot, onion, water chestnut, bamboo shoots, garlic, ginger, soy sauce and pepper."", ""Stir mixture until thoroughly combined-at this point you can cover and stick in the fridge over night."", ""I lay out about 10 wrappers at a time, roll the meat mixture into cigar shapes about finger thickness-be reasonable-and the length of the wrapper."", ""Roll, brush ends with beaten egg and finish the roll to seal."", ""Place seam side down on a cookie sheet and repeat until done."", 
""Bake in a preheated 450 degree oven, turning once for around 20 minutes."", ""They should be cooked through and the wrappers are golden brown."", ""Serve hot."", ""You can make these ahead of time and keep cooked lumpia in the fridge for up to 3 days, or frozen up to 4 weeks."", ""To reheat (thaw if frozen) bake on baking sheet in a 450 oven for 10 minutes-turn rolls once."", ""Dipping sauce----------------."", ""In a 3 quart saucepan mix together the brown sugar, vinegar and soy sauce."", ""Stir over high heat until sugar dissolves."", 
""Mix the cornstarch/water and add to the sugar mixture and stir until mixture boils."", ""Remove from heat and stir in ginger."", ""Makes 2/3 cup and you can double."")",128.2
Escabeche with Papaya,PT50M,Lunch/Snacks,"c(""Papaya"", ""Potato"", ""Tropical Fruits"", ""Fruit"", ""Vegetable"", ""Filipino"", ""Asian"", ""< 60 Mins"")","c(""papayas"", ""onion"", ""garlic"", ""ginger"", ""vinegar"", ""water"", ""soy sauce"", ""flour"", ""sugar"", ""salt"")","c(""Clean fish and sprinkle with salt."", ""Let stand about 15 minutes and drain well."", ""Fry in hot oil until brown and set aside."", ""Saute garlic,ginger,onion and papaya until papaya is half cooked."", ""Add salt and hot pepper and mixture of vinegar,water,sugar,soy sauce and flour."", ""Cook until liquid thickens and the papaya becomes tender."", ""Place fried fish on a platter and pour over it the gravy mixture."", ""Garnish with sliced red-sweet pepper."")",210.3
Vegetarian Lumpia from the Philippines,PT1H25M,Vegetable,"c(""Filipino"", ""Asian"", ""Vegan"", ""Weeknight"", ""Oven"", ""< 4 Hours"")","c(""lumpia skins"", ""carrots"", ""leeks"", ""shallots"", ""onions"", ""salt"", ""plum sauce"")","c(""Saute chopped carrots, leeks, shallots and salt in sesame oil til the carrots are tender and soft."", ""Use the lumpia skins at either full size or 1/4 size (by cutting larger skins into four squares)."", ""Moisten a lumpia skin in water and roll the vegetable mixture into the skin."", ""Repeat with the remaining skins."", ""Bake at 375 on a lightly oiled baking sheet for approx 20-25 minutes or until lightly browned- keep an eye on them, as ovens vary."", ""Serve hot with plum or duck sauce."", ""Enjoy!""
)",110.7
Pancit Canton,PT50M,Chicken Breast,"c(""Chicken"", ""Pork"", ""Poultry"", ""Meat"", ""Filipino"", ""Asian"", ""< 60 Mins"", ""Stove Top"")","c(""onion"", ""garlic"", ""chicken breast"", ""shrimp"", ""soy sauce"", ""chicken broth"", ""cabbage"", ""green beans"", ""carrots"", ""shiitake mushroom"", ""black pepper"", ""green onions"", ""lemons"")","c(""If using mushrooms, soak them in warm water for 30 minutes, then cut into strips, discarding the tough stems."", ""Set aside."", ""Heat oil over medium-high heat in wok or large skillet."", ""Saute garlic and onions until tender."", ""Add pork, chicken and shrimp, and cook until browned."", ""Add soy sauce, stirring to flavor."", ""Add chicken broth and bring to boil."", ""Add cabbage, green beans, carrots and mushrooms."", ""Cook until vegetables are tender, yet crisp, 5-8 minutes."", ""Add noodles, mixing gently to prevent them from breaking."", 
""Cook until liquid is absorbed and noodles are done, about 10 minutes."", ""Remove from heat."", ""Season with black pepper and patis."", ""Garnish with green onions and lemon wedges."")",354.1
Chicken Pork Adobo (Philippines),PT2H,Pork,"c(""Meat"", ""Filipino"", ""Asian"", ""Weeknight"", ""Stove Top"", ""< 4 Hours"")","c(""garlic"", ""vinegar"", ""soy sauce"", ""Worcestershire sauce"", ""water"", ""chicken"", ""pork"", ""salt"", ""peppercorn"", ""brown sugar"")","c(""mix all the spices and water."", ""(including salt, pepper corn, etc.)."", ""Marinate the chicken and pork in the mixture for about an hour."", ""Bring to a boil then simmer until meat is tender."")",247.6
Flavor-Infused Chicken Adobo,PT1H25M,Stew,"c(""Lunch/Snacks"", ""Chicken"", ""Poultry"", ""Grains"", ""Beans"", ""Meat"", ""Filipino"", ""Asian"", ""Very Low Carbs"", ""Potluck"", ""Spicy"", ""Weeknight"", ""Stove Top"", ""< 4 Hours"", ""Easy"", ""Inexpensive"")","c(""chicken thighs"", ""white vinegar"", ""low sodium soy sauce"", ""peppercorn"", ""brown sugar"", ""garlic cloves"", ""bay leaves"", ""salt"")","c(""Combine all ingredients in a pan, cover, and marinate for one to three hours."", ""Bring to a boil, then lower heat and simmer for 30 minutes."", ""Uncover the pan and allow to simmer for an additional 15 minutes or until most of the liquid has evaporated and the chicken is lightly brown."", ""Serve with white rice."")",774.8
Easy to make Yema,PT15M,Dessert,"c(""Filipino"", ""Asian"", ""Healthy"", ""< 15 Mins"", ""For Large Groups"", ""Stove Top"")","c(""mashed potatoes"", ""vanilla"", ""butter"", ""sugar"", ""water"", ""cream of tartar"")","c(""combine all the ingredients for the yema and cook until the mixture is thick."", ""set aside and cool."", ""roll into balls of about 1 inch in diameter."", ""Prepare the syrup: blend all the ingredients for the syrup."", ""Bring to a boil until syrup is caramel-colored."", ""insert a toothpick into the yema ball and dip into the syrup."", ""cool on greased baking pan."")",111.5
Cassava Cake,PT2H,Dessert,"c(""Filipino"", ""Asian"", ""Free Of..."", ""Weeknight"", ""Oven"", ""< 4 Hours"")","c(""cassava"", ""sweetened condensed milk"", ""evaporated milk"", ""coconut milk"", ""coconut cream"", ""sugar"", ""eggs"", ""coconut"")","c(""Preheat oven to 325° f."", ""In large mixing bowl combine cake ingredients."", ""Mix well."", ""Pour equally into two large greased rectangular pans."", ""Bake until top is no longer liquid (approximately 30 minutes)."", ""Mix topping ingredients well and spread evenly on the two cakes."", ""Bake an additional 20 to 30 minutes."", ""Cool cakes completely."", ""Slice each cake into 24 equal squares."")",282.7
Humba (Braised Pork Belly),PT26H,Pork,"c(""Meat"", ""Filipino"", ""Asian"", ""Weeknight"", ""Stove Top"")","c(""bay leaves"", ""vinegar"", ""soy sauce"", ""fresh ground black pepper"", ""raw peanuts"", ""brown sugar"", ""garlic"")","c(""Parboil whole pork belly in about a liter of water for 10 minutes, then cut into 5 equal portions."", ""Reserve broth."", ""With a sharp knife, carefully score skin side of each portion making criss-cross slits, approximately 1 cm apart and 0.5 cm deep, then place in a bowl with all the remaining ingredients and marinate in the refrigerator overnight."", ""The next morning, bring the reserved broth to boil, add pork with remaining ingredients, and cook for 1 1/2 hours, until meat is tender."")",163.8
Easy Filipino Pancit Noodles for Two,PT30M,One Dish Meal,"c(""Pork"", ""Vegetable"", ""Meat"", ""Filipino"", ""Asian"", ""Healthy"", ""< 30 Mins"", ""Beginner Cook"", ""Stir Fry"", ""Easy"", ""Inexpensive"")","c(""boneless pork chops"", ""yellow onion"", ""fresh ground black pepper"", ""low sodium soy sauce"", ""green cabbage"", ""paprika"", ""hard-boiled egg"", ""green onions"")","c(""Heat a large skillet over medium heat and use either cooking spray or a small amount of oil; add the onions and pork and saute 5 minutes, or until browned, stirring often; remove pork from pan and set aside."", ""Soak rice noodles in warm water for 5 minutes then drain."", ""Heat pan over medium high heat; add noodles to pan and saute 2 minutes; stir in soy sauce, and cook 2 minutes more, tossing to coat."", ""Add cabbage and paprika (or cayenne) and cook 1 minute; then place pork back in pan and cook for 4 minutes more, stirring frequently."", 
""Garnish with egg slices and chopped green onion before serving."")",457.7
Filipino Style Fruit Salad,PT15M,Dessert,"c(""Pineapple"", ""Tropical Fruits"", ""Fruit"", ""Filipino"", ""Asian"", ""Kid Friendly"", ""< 15 Mins"", ""No Cook"", ""Refrigerator"", ""Easy"")","c(""heavy cream"", ""cream cheese"", ""pineapple chunks"", ""lychees"", ""coconut"", ""apples"")","c(""Mix heavy cream and cream cheese together to a smooth sauce like consistency."", ""Combine with other ingredients and blend well, chill overnight."")",625.9
Chicken with Sotanghon Noodles,PT1H15M,Chicken,"c(""Poultry"", ""Vegetable"", ""Meat"", ""Filipino"", ""Asian"", ""Stove Top"", ""< 4 Hours"")","c(""chicken"", ""onion"", ""garlic"", ""fish sauce"", ""annatto seeds"", ""cellophane noodles"", ""green onions"", ""salt"", ""black pepper"")","c(""In a large saucepan, place the chicken with enough water to cover, and bring to a boil."", ""Lower heat and simmer, covered, until chicken is tender; remove chicken from pot and cool somewhat."", ""Strain stock in the pot and reserve."", ""Debone the chicken and cut meat into large pieces."", ""Heat the oil in a large skillet and add onion and garlic; cook until onion is tender."", ""Add chicken, and fish sauce to the pan and simmer for a few minutes."", ""Pour 2 tbsp hot water over the annato seeds in a small cup, stirring until bright orange; then strain off the water into the pan with the chicken meat along with the strained chicken broth."", 
""Bring everything to a boil; add noodles and chopped mushrooms and simmer for 15 minutes."", ""Add green onions and season to taste with salt and pepper."")",675.8
Chicken adobo a la Boots,PT1H10M,Filipino,"c(""Asian"", ""Very Low Carbs"", ""High Protein"", ""High In..."", ""Weeknight"", ""< 4 Hours"")","c(""chicken legs"", ""soy sauce"", ""sugar"", ""pepper"", ""garlic"", ""bay leaf"", ""vinegar"", ""chili powder"")","c(""Heat the oil (medium heat) and when it is hot enough, put in the garlic, sautee until golden."", ""Add the chicken until it's browned."", ""Add the soy sauce, vinegar, sugar, bay leaf, pepper."", ""Add chili powder."", ""Keep simmering for about 45 min to an hour, until chicken is tender."", ""There should be enough sauce."", ""Don't forget to keep turning the chicken every 10 min."", ""Discard bay leaf."", ""Serve with white rice."", ""Pour the sauce on top."")",745
Crusty Pan De Sal,PT3H20M,Yeast Breads,"c(""Breads"", ""Filipino"", ""Asian"", ""Low Cholesterol"", ""Healthy"", ""Weeknight"", ""< 4 Hours"")","c(""shortening"", ""salt"", ""sugar"", ""boiling water"", ""water"", ""dry yeast"", ""flour"")","c(""Combine shortening, sugar, salt and boiling water in a large mixing bowl."", ""Cool to lukewarm."", ""Add warm water and sprinkle in dry yeast."", ""Stir until dissolved."", ""Let stand for 5 minutes."", ""Add flour gradually and turn out on a lighlty floured board."", ""Knead until smooth and elastic."", ""Place in a greased bowl and brush with shortening."", ""Cover and let rise in warm place until double in size- about 1- 1 1/2 hour."", ""Punch down and turn out on a lighlty floured board."", ""Divide dough into 24 equal parts and shape into ovals."", 
""Roll lightly in bread crumbs."", ""Place on greased cookie sheet."", ""(spread 6 inches apart)."", ""Cover, let rise in warm place, free from draft, until light- about 1 hour."", ""Bake at 425 degrees, for 15-20 minutes or until golden brown."")",102.8
Bibingka (Flat Cake),PT55M,Dessert,"c(""Filipino"", ""Asian"", ""Christmas"", ""< 60 Mins"")","c(""granulated sugar"", ""coconut milk"", ""eggs"", ""all-purpose flour"", ""salt"", ""baking powder"", ""edam cheese"", ""butter"", ""margarine"", ""coconut"")","c(""Preheat oven to 375 degrees."", ""Mix the sugar with the coconut milk in a bowl."", ""Make sure sugar has dissolved."", ""Add beaten eggs."", ""In bowl, sift the flour."", ""Add salt and baking powder and sift again."", ""Combine the egg mixture with the flour mixture."", ""Beat well."", ""Pour into baking pan."", ""Bake for 15 minutes."", ""Sprinkle with cheese and bake for 20 minutes more, brushing twice with margarine while baking."", ""When done, brush again with margarine."", ""Serve with grated coconut."")",846.2
